source,target,edge_betweenness,length_m,confidence,status,highway,osm_id,edge_id
66446,78842,0.09126012280857881,11.276877222689047,0.9013051748275757,OPEN,primary,435249770,435249770_0
54206,54207,0.07959968556257602,20.144733625240445,0.6668927026513111,LIKELY_OPEN,secondary,173566955,173566955_0
2925,10238,0.07845643855121474,167.35624039193252,0.7513188331911009,OPEN,tertiary,36970818,36970818_0
9734,9735,0.07451981549049272,29.29918631537467,0.4325802603000548,UNCERTAIN,residential,36907572,36907572_0
2274,35286,0.07308245083207263,7.766480357640152,0.8524328096707663,OPEN,primary,133632534,133632534_0
35285,35286,0.07307503485509181,40.513437794170414,0.8524328096707663,OPEN,primary,133632534,133632534_0
35284,35285,0.07306791551719023,5.209483427652436,0.8524328096707663,OPEN,primary,133632534,133632534_0
35283,35284,0.07306079617928866,12.796793611992582,0.8524328096707663,OPEN,primary,133632534,133632534_0
35282,35283,0.0730501171724363,33.231982237383406,0.8524328096707663,OPEN,primary,133632534,133632534_0
35281,35282,0.07304566758624782,11.84251333234108,0.8524328096707663,OPEN,primary,133632534,133632534_0
12029,35281,0.07304418439085165,22.998966328511912,0.8524328096707663,OPEN,primary,133632534,133632534_0
78842,92146,0.0727763193023049,63.71316456051186,0.7682362198829651,OPEN,primary,763175330,763175330_0
92145,92146,0.07276208062650175,13.301732391839668,0.7682362198829651,OPEN,primary,763175330,763175330_0
92144,92145,0.07259099403755451,44.71714943458529,0.7682362198829651,OPEN,primary,763175330,763175330_0
92143,92144,0.07256874610661208,88.94609299580722,0.7682362198829651,OPEN,primary,763175330,763175330_0
21129,92143,0.07243125389338792,5.072012124380268,0.8271542489528655,OPEN,primary,1298944073,1298944073_0
2822,79810,0.07231356233870251,44.32904262795117,0.8859746051136452,OPEN,primary,464465205,464465205_0
21129,35288,0.07101057518317463,62.91355323515422,0.8524328096707663,OPEN,primary,133632534,133632534_0
35287,35288,0.07100805375100117,19.283301701842383,0.8524328096707663,OPEN,primary,133632534,133632534_0
2274,35287,0.07100775711192193,12.971776503450208,0.8524328096707663,OPEN,primary,133632534,133632534_0
12029,35280,0.06985887395805523,1.9602402513564943,0.8524328096707663,OPEN,primary,133632534,133632534_0
2176,35280,0.06985724244311946,12.443473002526767,0.8316766965389252,OPEN,primary,766406977,766406977_0
9461,9462,0.06801592951855479,13.536302504164814,0.7480813794665866,OPEN,primary,36897684,36897684_0
6217,6218,0.06745735813236037,71.58328325943671,0.7629947033053951,OPEN,primary,30915415,30915415_0
33386,85518,0.06696100679303492,50.82044815834515,0.8382695937156678,OPEN,secondary,638541498,638541498_0
34436,85518,0.0669608584734953,21.106313629038542,0.790826474428177,OPEN,secondary,1148421491,1148421491_0
9461,53244,0.06676025629616446,5.279125631869095,0.8462854671478273,OPEN,primary,172891296,172891296_0
6032,53547,0.06593641541336656,125.2778606206458,0.6976999911240169,LIKELY_OPEN,secondary,1052609696,1052609696_0
50284,53243,0.06592180593871437,3.6245964677206426,0.8462854671478273,OPEN,primary,172891296,172891296_0
6023,6032,0.06587760671590875,8.604933184856957,0.7863239987691243,OPEN,secondary,1277274504,1277274504_0
10238,53547,0.06586826258491293,7.36701376416858,0.6976999911240169,LIKELY_OPEN,secondary,1052609696,1052609696_0
6023,54200,0.06586225564355849,109.8428367401239,0.6433710414430369,LIKELY_OPEN,secondary,1277274503,1277274503_0
54200,54201,0.06585854765506809,67.36372821685801,0.6668927026513111,LIKELY_OPEN,secondary,173566955,173566955_0
54201,54202,0.06585157663670613,24.49481850291877,0.6668927026513111,LIKELY_OPEN,secondary,173566955,173566955_0
10250,54202,0.06584875856545341,17.590535961266763,0.6668927026513111,LIKELY_OPEN,secondary,173566955,173566955_0
10250,54203,0.06580834149090801,109.68897741058078,0.6668927026513111,LIKELY_OPEN,secondary,173566955,173566955_0
33386,72848,0.06580663581620243,17.797530017601186,0.8946953415870665,OPEN,secondary,1284335285,1284335285_0
9247,53244,0.0657200172050666,5.214549579542089,0.8462854671478273,OPEN,primary,172891296,172891296_0
9247,53243,0.06571883064874967,5.395448277488017,0.8462854671478273,OPEN,primary,172891296,172891296_0
54203,54204,0.0654527453946783,61.544466863275574,0.6668927026513111,LIKELY_OPEN,secondary,173566955,173566955_0
54205,54206,0.06544844412802943,68.36257890019195,0.6668927026513111,LIKELY_OPEN,secondary,173566955,173566955_0
54204,54205,0.06544406870161075,30.498845132008437,0.6668927026513111,LIKELY_OPEN,secondary,173566955,173566955_0
51276,51330,0.06468059387143663,21.037540815746613,0.7413071180473674,OPEN,primary,173571191,173571191_0
73218,73235,0.06455600545815907,43.15302988990409,0.4372198261022568,UNCERTAIN,primary,895805583,895805583_0
36386,73218,0.06455036931565365,39.22661404043798,0.3532864047421349,UNCERTAIN,primary,895805584,895805584_0
36386,104378,0.06454502981222747,34.111028130546394,0.41737867951393126,UNCERTAIN,primary,895805582,895805582_0
104378,129851,0.06451818397555695,11.44281175574897,0.4893505048751831,UNCERTAIN,primary,1314301942,1314301942_0
6215,129851,0.06451566254338346,38.59850053908805,0.3194702614016003,UNCERTAIN,primary,1278822702,1278822702_0
6215,6216,0.0645132894307496,27.15831154133007,0.7629947033053951,OPEN,primary,30915415,30915415_0
51311,51330,0.06448095577111329,13.122209554475315,0.7413071180473674,OPEN,primary,173571191,173571191_0
5841,54248,0.06438217495772894,4.944516046446847,0.7413071180473674,OPEN,primary,173571191,173571191_0
51541,54249,0.06437149595087657,30.84135092667092,0.7413071180473674,OPEN,primary,173571191,173571191_0
51541,54248,0.06437053187386907,78.7876505303089,0.7413071180473674,OPEN,primary,173571191,173571191_0
51276,54249,0.0643634866957373,24.289086479745464,0.7413071180473674,OPEN,primary,173571191,173571191_0
5847,5848,0.06416318115748569,17.740595201746505,0.750164315700531,OPEN,primary,30262127,30262127_0
9462,74792,0.06406106315445997,7.1074425601230455,0.5602927138010662,LIKELY_OPEN,tertiary,1158653935,1158653935_0
51311,51530,0.0639612441042983,111.44189927509501,0.7413071180473674,OPEN,primary,173571191,173571191_0
13681,51530,0.06393054195959776,37.65134950592336,0.7413071180473674,OPEN,primary,173571191,173571191_0
13681,51806,0.0638620183322951,58.14755447506546,0.7624058699607849,OPEN,primary,169722379,169722379_0
