corridor_id,scenario,corridor_segments,corridor_length_m,corridor_betweenness,corridor_confidence,criticality_score,affected_edges,baseline_components,scenario_components,baseline_largest_component,scenario_largest_component,baseline_connectivity_ratio,scenario_connectivity_ratio,largest_component_loss,connectivity_loss,isolated_nodes,resilience_score,resilience_score_100,risk_score,risk_category
1,REMOVE,621,32376.43039811082,0.0478728773527335,0.7287776416948953,0.365142432283158,1323,124,870,134845,133756,0.9961732526613624,0.9881282181984736,0.0080759390411212,0.0080759390411212,697,0.9137294661655344,91.37294661655343,8.627053383446565,LOW
5,REMOVE,33,1002.8777069993585,0.0511532585802853,0.74285042835765,0.128799651783642,87,124,173,134845,134773,0.9961732526613624,0.995641349556378,0.000533946382884,0.0005339463828839,47,0.9510906404818068,95.10906404818068,4.890935951819316,LOW
4,REMOVE,21,1482.704864173217,0.0481409487647806,0.6407593487712566,0.1624561268346424,99,124,175,134845,134778,0.9961732526613624,0.995678287272002,0.0004968667729615,0.0004968667729615,47,0.9357776320984932,93.57776320984932,6.422236790150677,LOW
3,REMOVE,42,2665.9938767226495,0.0356997274451888,0.6920043745217358,0.1711839042214121,45,124,153,134845,134790,0.9961732526613624,0.9957669377894992,0.0004078757091475,0.0004078757091474,26,0.9396822986308428,93.96822986308429,6.031770136915711,LOW
6,REMOVE,33,1659.135694216419,0.032257448112881,0.5852683878141212,0.1213513368458378,93,124,171,134845,134798,0.9961732526613624,0.9958260381344975,0.0003485483332715,0.0003485483332714,47,0.9366390876722606,93.66390876722606,6.3360912327739385,LOW
2,REMOVE,44,3389.872906859213,0.0436956863958621,0.7105367726736397,0.2473429147796083,72,124,164,134845,134800,0.9961732526613624,0.9958408132207472,0.0003337164893025,0.0003337164893024,37,0.9311609071275286,93.11609071275286,6.8839092872471355,LOW
10,REMOVE,13,981.7419234443158,0.0335947864540904,0.7447350354735479,0.0835707672206023,28,124,140,134845,134819,0.9961732526613624,0.995981176540118,0.0001928139715969,0.0001928139715969,14,0.958913465142515,95.8913465142515,4.108653485748505,LOW
8,REMOVE,13,1322.1550599474529,0.0356893264695613,0.7336533388001715,0.1049499359056317,27,124,136,134845,134833,0.9961732526613624,0.996084602143865,8.899106381399235e-05,8.899106381399235e-05,12,0.954306715958974,95.4306715958974,4.569328404102606,LOW
9,REMOVE,19,794.2574273940014,0.0358269360774008,0.6853174740166901,0.0845114030956788,19,124,133,134845,134836,0.9961732526613624,0.9961067647732392,6.674329786049427e-05,6.674329786049427e-05,9,0.9528998699699782,95.28998699699783,4.7100130030021745,LOW
7,REMOVE,46,1446.5455000214722,0.0386868110396167,0.8895510093548439,0.1051029347747486,9,124,127,134845,134842,0.9961732526613624,0.996151090031988,2.224776595349809e-05,2.2247765953387063e-05,3,0.9699181437951517,96.99181437951518,3.0081856204848236,LOW
2,BLOCKED,44,3389.872906859213,0.0436956863958621,0.7105367726736397,0.2473429147796083,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9313945086700403,93.13945086700403,6.8605491329959705,LOW
10,CAPACITY,13,981.7419234443158,0.0335947864540904,0.7447350354735479,0.0835707672206023,28,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9590484349226328,95.90484349226328,4.095156507736718,LOW
9,BLOCKED,19,794.2574273940014,0.0358269360774008,0.6853174740166901,0.0845114030956788,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9529465902784805,95.29465902784806,4.705340972151944,LOW
9,CAPACITY,19,794.2574273940014,0.0358269360774008,0.6853174740166901,0.0845114030956788,19,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9529465902784805,95.29465902784806,4.705340972151944,LOW
8,BLOCKED,13,1322.1550599474529,0.0356893264695613,0.7336533388001715,0.1049499359056317,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9543690097036437,95.43690097036436,4.563099029635637,LOW
8,CAPACITY,13,1322.1550599474529,0.0356893264695613,0.7336533388001715,0.1049499359056317,27,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9543690097036437,95.43690097036436,4.563099029635637,LOW
7,BLOCKED,46,1446.5455000214722,0.0386868110396167,0.8895510093548439,0.1051029347747486,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.969933717231319,96.9933717231319,3.006628276868099,LOW
7,CAPACITY,46,1446.5455000214722,0.0386868110396167,0.8895510093548439,0.1051029347747486,9,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.969933717231319,96.9933717231319,3.006628276868099,LOW
6,BLOCKED,33,1659.135694216419,0.032257448112881,0.5852683878141212,0.1213513368458378,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9368830715055505,93.68830715055505,6.3116928494449525,LOW
2,CAPACITY,44,3389.872906859213,0.0436956863958621,0.7105367726736397,0.2473429147796083,72,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9313945086700403,93.13945086700403,6.8605491329959705,LOW
6,CAPACITY,33,1659.135694216419,0.032257448112881,0.5852683878141212,0.1213513368458378,93,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9368830715055505,93.68830715055505,6.3116928494449525,LOW
1,CAPACITY,621,32376.43039811082,0.0478728773527335,0.7287776416948953,0.365142432283158,1323,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9193826234943192,91.93826234943192,8.061737650568077,LOW
5,BLOCKED,33,1002.8777069993585,0.0511532585802853,0.74285042835765,0.128799651783642,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9514644029498255,95.14644029498255,4.853559705017446,LOW
5,CAPACITY,33,1002.8777069993585,0.0511532585802853,0.74285042835765,0.128799651783642,87,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9514644029498255,95.14644029498255,4.853559705017446,LOW
1,BLOCKED,621,32376.43039811082,0.0478728773527335,0.7287776416948953,0.365142432283158,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9193826234943192,91.93826234943192,8.061737650568077,LOW
4,BLOCKED,21,1482.704864173217,0.0481409487647806,0.6407593487712566,0.1624561268346424,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0,0.9361254388395661,93.61254388395662,6.387456116043381,LOW
