corridor_id,corridor_length_m,corridor_segments,corridor_confidence,criticality_score,worst_connectivity_loss,worst_component_loss,minimum_resilience_score,mean_resilience_score,impact_score,risk_score,risk_category
1,32376.43039811082,621,0.7287776416948953,0.365142432283158,0.0080759390411212,0.0080759390411212,91.37294661655343,91.74982377180577,0.0080759390411212,8.627053383446565,LOW
2,3389.872906859213,44,0.7105367726736397,0.2473429147796083,0.0003337164893024,0.0003337164893025,93.11609071275286,93.13166414892031,0.00033371648930244997,6.8839092872471355,LOW
4,1482.704864173217,21,0.6407593487712566,0.1624561268346424,0.0004968667729615,0.0004968667729615,93.57776320984932,93.60095032592085,0.0004968667729615,6.422236790150677,LOW
6,1659.135694216419,33,0.5852683878141212,0.1213513368458378,0.0003485483332714,0.0003485483332715,93.66390876722606,93.68017435611205,0.00034854833327145,6.3360912327739385,LOW
3,2665.9938767226495,42,0.6920043745217358,0.1711839042214121,0.0004078757091474,0.0004078757091475,93.96822986308429,93.98726406284449,0.00040787570914745,6.031770136915711,LOW
5,1002.8777069993585,33,0.74285042835765,0.128799651783642,0.0005339463828839,0.000533946382884,95.10906404818068,95.13398154604859,0.00053394638288395,4.890935951819316,LOW
9,794.2574273940014,19,0.6853174740166901,0.0845114030956788,6.674329786049427e-05,6.674329786049427e-05,95.28998699699783,95.29310168423132,6.674329786049427e-05,4.7100130030021745,LOW
8,1322.1550599474529,13,0.7336533388001715,0.1049499359056317,8.899106381399235e-05,8.899106381399235e-05,95.4306715958974,95.4348245122087,8.899106381399235e-05,4.569328404102606,LOW
10,981.7419234443158,13,0.7447350354735479,0.0835707672206023,0.0001928139715969,0.0001928139715969,95.8913465142515,95.90034449959269,0.0001928139715969,4.108653485748505,LOW
7,1446.5455000214722,46,0.8895510093548439,0.1051029347747486,2.2247765953387063e-05,2.224776595349809e-05,96.99181437951518,96.992852608593,2.2247765953442578e-05,3.0081856204848236,LOW
